,speech,date,president,charindex,target,wordcount,context
10,109,1901-12-03 00:00:00,Theodore Roosevelt,68767,equal,20595,"... provides that the United States alone shall do the work of building and assume the responsibility of safeguarding the canal and shall regulate its neutral use by all nations on terms of equality without the guaranty or interference of any outside nation from any quarter. The signed treaty will at once be laid before the Senate, and if approved the Congress can then proceed to give ..."
11,109,1901-12-03 00:00:00,Theodore Roosevelt,75364,equal,20595,"... a proportion of raw men can be mixed with the highly trained, their shortcomings being made good by the skill of their fellows; but the efficient fighting force of the Navy when pitted against an equal opponent will be found almost exclusively in the war ships that have been regularly built and in the officers and men who through years of faithful performance of sea duty have been trained to ..."
12,109,1901-12-03 00:00:00,Theodore Roosevelt,76517,equal,20595,"... of the Congress and the successful administration of a succession of patriotic Secretaries of the Navy, belonging to both political parties, the work of upbuilding the Navy went on, and ships equal to any in the world of their kind were continually added; and what was even more important, these ships were exercised at sea singly and in squadrons until the men aboard them were able to get ..."
13,109,1901-12-03 00:00:00,Theodore Roosevelt,77113,equal,20595,"... Navy. While awarding the fullest honor to the men who actually commanded and manned the ships which destroyed the Spanish sea forces in the Philippines and in Cuba, we must not forget that an equal meed of praise belongs to those without whom neither blow could have been struck. The Congressmen who voted years in advance the money to lay down the ships, to build the guns, to buy the ..."
14,109,1901-12-03 00:00:00,Theodore Roosevelt,80587,equal,20595,"... his special duty in the sea service. Above all, gunnery practice should be unceasing. It is important to have our Navy of adequate size, but it is even more important that ship for ship it should equal in efficiency any navy in the world. This is possible only with highly drilled crews and officers, and this in turn imperatively demands continuous and progressive instruction in target ..."
15,109,1901-12-03 00:00:00,Theodore Roosevelt,85343,equal,20595,"... to perfect is the rifleman who is also a skillful and daring rider. The proportion of our cavalry regiments has wisely been increased. The American cavalryman, trained to manoeuvre and fight with equal facility on foot and on horseback, is the best type of soldier for general purposes now to be found in the world. The ideal cavalryman of the present day is a man who can fight on foot as ..."
16,109,1901-12-03 00:00:00,Theodore Roosevelt,113119,equal,20595,"... doing what lies in our power to foster feelings of good will, and leaving no effort untried to work out the great policy of full and fair intercourse between China and the nations, on a footing of equal rights and advantages to all. We advocate the ""open door"" with all that it implies; not merely the procurement of enlarged commercial opportunities on the coasts, but access to the interior by ..."
17,109,1901-12-03 00:00:00,Theodore Roosevelt,114888,equal,20595,"... from Mexico on these awards had been paid by this Government to the claimants before the decision of the courts was rendered. My judgment is that the Congress should return to Mexico an amount equal to the sums thus already paid to the claimants. The death of Queen Victoria caused the people of the United States deep and heartfelt sorrow, to which the Government gave full expression. ..."
18,109,1901-12-03 00:00:00,Theodore Roosevelt,6879,equality,20595,"... be accepted as due to protest against ""inequalities in the social order,"" save as the murder of all the freemen engaged in a town meeting could be accepted as a protest against that social inequality which puts a malefactor in jail. Anarchy is no more an expression of ""social discontent"" than picking pockets or wife-beating. The anarchist, and especially the anarchist in the United ..."
19,109,1901-12-03 00:00:00,Theodore Roosevelt,68767,equality,20595,"... provides that the United States alone shall do the work of building and assume the responsibility of safeguarding the canal and shall regulate its neutral use by all nations on terms of equality without the guaranty or interference of any outside nation from any quarter. The signed treaty will at once be laid before the Senate, and if approved the Congress can then proceed to give ..."
20,109,1901-12-03 00:00:00,Theodore Roosevelt,25574,equity,20595,"... and making firm our new position in the international industrial world; while scrupulously safeguarding the rights of wage-worker and capitalist, of investor and private citizen, so as to secure equity as between man and man in this Republic. With the sole exception of the farming interest, no one matter is of such vital moment to our whole people as the welfare of the wage-workers. If the ..."
21,109,1901-12-03 00:00:00,Theodore Roosevelt,65694,exploitation,20595,"... to permit this is to do a wrong to the Philippines. The franchises must be granted and the business permitted only under regulations which will guarantee the islands against any kind of improper exploitation. But the vast natural wealth of the islands must be developed, and the capital willing to develop it must be given the opportunity. The field must be thrown open to individual ..."
22,109,1901-12-03 00:00:00,Theodore Roosevelt,3108,individual,20595,"... gains after a lifetime of unremitting labor, largely in the service of the public. Still less was power struck at in the sense that power is irresponsible or centered in the hands of any one individual. The blow was not aimed at tyranny or wealth. It was aimed at one of the strongest champions the wage-worker has ever had; at one of the most faithful representatives of the system of ..."
23,109,1901-12-03 00:00:00,Theodore Roosevelt,8940,individual,20595,"... to permit them to be invoked in such a cause. No man or body of men preaching anarchistic doctrines should be allowed at large any more than if preaching the murder of some specified private individual. Anarchistic speeches, writings, and meetings are essentially seditious and treasonable. I earnestly recommend to the Congress that in the exercise of its wise discretion it should take ..."
24,109,1901-12-03 00:00:00,Theodore Roosevelt,9318,individual,20595,"... it should take into consideration the coming to this country of anarchists or persons professing principles hostile to all government and justifying the murder of those placed in authority. Such individuals as those who not long ago gathered in open meeting to glorify the murder of King Humbert of Italy perpetrate a crime, and the law should ensure their rigorous punishment. They and those ..."
25,109,1901-12-03 00:00:00,Theodore Roosevelt,12870,individual,20595,"... loses its head, it loses what legislation cannot supply. Fundamentally the welfare of each citizen, and therefore the welfare of the aggregate of citizens which makes the nation, must rest upon individual thrift and energy, resolution, and intelligence. Nothing can take the place of this individual capacity; but wise legislation and honest and intelligent administration can give it the ..."
26,109,1901-12-03 00:00:00,Theodore Roosevelt,12965,individual,20595,"... citizen, and therefore the welfare of the aggregate of citizens which makes the nation, must rest upon individual thrift and energy, resolution, and intelligence. Nothing can take the place of this individual capacity; but wise legislation and honest and intelligent administration can give it the fullest scope, the largest opportunity to work to good effect. The tremendous and highly complex ..."
27,109,1901-12-03 00:00:00,Theodore Roosevelt,13908,individual,20595,"... faster than the growth of the country, and the upbuilding of the great industrial centers has meant a startling increase, not merely in the aggregate of wealth, but in the number of very large individual, and especially of very large corporate, fortunes. The creation of these great corporate fortunes has not been due to the tariff nor to any other governmental action, but to natural ..."
28,109,1901-12-03 00:00:00,Theodore Roosevelt,16048,individual,20595,... caution in dealing with corporations is to be found in the international commercial conditions of to-day. The same business conditions which have produced the great aggregations of corporate and individual wealth have made them very potent factors in international Commercial competition. Business concerns which have the largest means at their disposal and are managed by the ablest men are ...
29,109,1901-12-03 00:00:00,Theodore Roosevelt,20930,individual,20595,"... right. It is no limitation upon property rights or freedom of contract to require that when men receive from Government the privilege of doing business under corporate form, which frees them from individual responsibility, and enables them to call into their enterprises the capital of the public, they shall do so upon absolutely truthful representations as to the value of the property in ..."
30,109,1901-12-03 00:00:00,Theodore Roosevelt,28985,individual,20595,"... questions which we group together when we speak of ""labor."" The chief factor in the success of each man--wage-worker, farmer, and capitalist alike--must ever be the sum total of his own individual qualities and abilities. Second only to this comes the power of acting in combination or association with others. Very great good has been and will be accomplished by associations or ..."
31,109,1901-12-03 00:00:00,Theodore Roosevelt,34207,individual,20595,"... where it is needed is maintained, and that reciprocity be sought for so far as it can safely be done without injury to our home industries. Just how far this is must be determined according to the individual case, remembering always that every application of our tariff policy to meet our shifting national needs must be conditioned upon the cardinal fact that the duties must never be reduced ..."
32,109,1901-12-03 00:00:00,Theodore Roosevelt,48822,individual,20595,"... to equalize the flow of streams and to save the flood waters. Their construction has been conclusively shown to be an undertaking too vast for private effort. Nor can it be best accomplished by the individual States acting alone. Far-reaching interstate problems are involved; and the resources of single States would often be inadequate. It is properly a national function, at least in some of ..."
33,109,1901-12-03 00:00:00,Theodore Roosevelt,65872,individual,20595,"... kind of improper exploitation. But the vast natural wealth of the islands must be developed, and the capital willing to develop it must be given the opportunity. The field must be thrown open to individual enterprise, which has been the real factor in the development of every region over which our flag has flown. It is urgently necessary to enact suitable laws dealing with general ..."
34,109,1901-12-03 00:00:00,Theodore Roosevelt,84065,individual,20595,"... than to be ""opulent, aggressive, and unarmed."" It is not necessary to increase our Army beyond its present size at this time. But it is necessary to keep it at the highest point of efficiency. The individual units who as officers and enlisted men compose this Army, are, we have good reason to believe, at least as efficient as those of any other army in the entire world. It is our duty to see ..."
35,109,1901-12-03 00:00:00,Theodore Roosevelt,84495,individual,20595,"... insure the highest possible expression of power to these units when acting in combination. The conditions of modern war are such as to make an infinitely heavier demand than ever before upon the individual character and capacity of the officer and the enlisted man, and to make it far more difficult for men to act together with effect. At present the fighting must be done in extended order, ..."
36,109,1901-12-03 00:00:00,Theodore Roosevelt,88208,individual,20595,"... difficult to give the higher officers (as well as the lower officers and the enlisted men) a chance to practice manoeuvres in mass and on a comparatively large scale. In time of need no amount of individual excellence would avail against the paralysis which would follow inability to work as a coherent whole, under skillful and daring leadership. The Congress should provide means whereby it ..."
37,109,1901-12-03 00:00:00,Theodore Roosevelt,89425,individual,20595,"... them to reach the highest point of efficiency, so that they may be able to respond instantly to any demand made upon them to sustain the interests of the Nation and the honor of the flag. The individual American enlisted man is probably on the whole a more formidable fighting man than the regular of any other army. Every consideration should be shown him, and in return the highest ..."
38,109,1901-12-03 00:00:00,Theodore Roosevelt,98589,individual,20595,... the bills heretofore submitted to the Congress on this subject are enacted into law. In my judgment the time has arrived when we should definitely make up our minds to recognize the Indian as an individual and not as a member of a tribe. The General Allotment Act is a mighty pulverizing engine to break up the tribal mass. It acts directly upon the family and the individual. Under its ...
39,109,1901-12-03 00:00:00,Theodore Roosevelt,98759,individual,20595,"... recognize the Indian as an individual and not as a member of a tribe. The General Allotment Act is a mighty pulverizing engine to break up the tribal mass. It acts directly upon the family and the individual. Under its provisions some sixty thousand Indians have already become citizens of the United States. We should now break up the tribal funds, doing for them what allotment does for the ..."
40,109,1901-12-03 00:00:00,Theodore Roosevelt,99006,individual,20595,"... Indians have already become citizens of the United States. We should now break up the tribal funds, doing for them what allotment does for the tribal lands; that is, they should be divided into individual holdings. There will be a transition period during which the funds will in many cases have to be held in trust. This is the case also with the lands. A stop should be put upon the ..."
41,109,1901-12-03 00:00:00,Theodore Roosevelt,100206,individual,20595,... It is an effectual barrier to progress. It must continue to a greater or less degree as long as tribes are herded on reservations and have everything in common. The Indian should be treated as an individual--like the white man. During the change of treatment inevitable hardships will occur; every effort should be made to minimize these hardships; but we should not because of them hesitate to ...
42,109,1901-12-03 00:00:00,Theodore Roosevelt,111226,individual,20595,"... edict has been issued by the Emperor of China prohibiting for two years the importation of arms and ammunition into China. China has agreed to pay adequate indemnities to the states, societies, and individuals for the losses sustained by them and for the expenses of the military expeditions sent by the various powers to protect life and restore order. Under the provisions of the joint note of ..."
43,109,1901-12-03 00:00:00,Theodore Roosevelt,6877,inequality,20595,"... be accepted as due to protest against ""inequalities in the social order,"" save as the murder of all the freemen engaged in a town meeting could be accepted as a protest against that social inequality which puts a malefactor in jail. Anarchy is no more an expression of ""social discontent"" than picking pockets or wife-beating. The anarchist, and especially the anarchist in the United ..."
44,109,1901-12-03 00:00:00,Theodore Roosevelt,8232,justice,20595,"... For the anarchist himself, whether he preaches or practices his doctrines, we need not have one particle more concern than for any ordinary murderer. He is not the victim of social or political injustice. There are no wrongs to remedy in his case. The cause of his criminality is to be found in his own evil passions and in the evil conduct of those who urge him on, not in any failure by ..."
45,109,1901-12-03 00:00:00,Theodore Roosevelt,8454,justice,20595,"... to remedy in his case. The cause of his criminality is to be found in his own evil passions and in the evil conduct of those who urge him on, not in any failure by others or by the State to do justice to him or his. He is a malefactor and nothing else. He is in no sense, in no shape or way, a ""product of social conditions,"" save as a highwayman is ""produced"" by the fact than an unarmed ..."
46,109,1901-12-03 00:00:00,Theodore Roosevelt,55723,justice,20595,"... enlightenment of the people most concerned. The larger development which national aid insures should, however, awaken in every arid State the determination to make its irrigation system equal in justice and effectiveness that of any country in the civilized world. Nothing could be more unwise than for isolated communities to continue to learn everything experimentally, instead of profiting ..."
47,109,1901-12-03 00:00:00,Theodore Roosevelt,86185,justice,20595,... the positions by the mere fact of seniority. A system should be adopted by which there shall be an elimination grade by grade of those who seem unfit to render the best service in the next grade. Justice to the veterans of the Civil War who are still in the Army would seem to require that in the matter of retirements they be given by law the same privileges accorded to their comrades in the ...
48,109,1901-12-03 00:00:00,Theodore Roosevelt,2955,labor,20595,"... who had entered the Army as a private soldier. Wealth was not struck at when the President was assassinated, but the honest toil which is content with moderate gains after a lifetime of unremitting labor, largely in the service of the public. Still less was power struck at in the sense that power is irresponsible or centered in the hands of any one individual. The blow was not aimed at tyranny ..."
49,109,1901-12-03 00:00:00,Theodore Roosevelt,25076,labor,20595,... as provided in the bill introduced at the last session of the Congress. It should be his province to deal with commerce in its broadest sense; including among many other things whatever concerns labor and all matters affecting the great business corporations and our merchant marine. The course proposed is one phase of what should be a comprehensive and far-reaching scheme of constructive ...
50,109,1901-12-03 00:00:00,Theodore Roosevelt,26292,labor,20595,"... higher than ever before. Every effort of legislator and administrator should be bent to secure the permanency of this condition of things and its improvement wherever possible. Not only must our labor be protected by the tariff, but it should also be protected so far as it is possible from the presence in this country of any laborers brought over by contract, or of those who, coming freely, ..."
51,109,1901-12-03 00:00:00,Theodore Roosevelt,26424,labor,20595,"... things and its improvement wherever possible. Not only must our labor be protected by the tariff, but it should also be protected so far as it is possible from the presence in this country of any laborers brought over by contract, or of those who, coming freely, yet represent a standard of living so depressed that they can undersell our men in the labor market and drag them to a lower level. ..."
52,109,1901-12-03 00:00:00,Theodore Roosevelt,26578,labor,20595,"... from the presence in this country of any laborers brought over by contract, or of those who, coming freely, yet represent a standard of living so depressed that they can undersell our men in the labor market and drag them to a lower level. I regard it as necessary, with this end in view, to re-enact immediately the law excluding Chinese laborers and to strengthen it wherever necessary in ..."
53,109,1901-12-03 00:00:00,Theodore Roosevelt,26722,labor,20595,"... so depressed that they can undersell our men in the labor market and drag them to a lower level. I regard it as necessary, with this end in view, to re-enact immediately the law excluding Chinese laborers and to strengthen it wherever necessary in order to make its enforcement entirely effective. The National Government should demand the highest quality of service from its employees; and in ..."
54,109,1901-12-03 00:00:00,Theodore Roosevelt,27160,labor,20595,"... legislation should be passed, in connection with the Interstate Commerce Law, which will render effective the efforts of different States to do away with the competition of convict contract labor in the open labor market. So far as practicable under the conditions of Government work, provision should be made to render the enforcement of the eight-hour law easy and certain. In all ..."
55,109,1901-12-03 00:00:00,Theodore Roosevelt,27178,labor,20595,"... should be passed, in connection with the Interstate Commerce Law, which will render effective the efforts of different States to do away with the competition of convict contract labor in the open labor market. So far as practicable under the conditions of Government work, provision should be made to render the enforcement of the eight-hour law easy and certain. In all industries carried on ..."
56,109,1901-12-03 00:00:00,Theodore Roosevelt,27494,labor,20595,"... of the eight-hour law easy and certain. In all industries carried on directly or indirectly for the United States Government women and children should be protected from excessive hours of labor, from night work, and from work under unsanitary conditions. The Government should provide in its contracts that all work should be done under ""fair"" conditions, and in addition to setting a ..."
57,109,1901-12-03 00:00:00,Theodore Roosevelt,28477,labor,20595,"... Moreover, they take a keen pride in what they are doing; so that, independent of the reward, they wish to turn out a perfect job. This is the great secret of our success in competition with the labor of foreign countries. The most vital problem with which this country, and for that matter the whole civilized world, has to deal, is the problem which has for one side the betterment of ..."
58,109,1901-12-03 00:00:00,Theodore Roosevelt,28851,labor,20595,"... betterment of social conditions, moral and physical, in large cities, and for another side the effort to deal with that tangle of far-reaching questions which we group together when we speak of ""labor."" The chief factor in the success of each man--wage-worker, farmer, and capitalist alike--must ever be the sum total of his own individual qualities and abilities. Second only to this comes ..."
59,109,1901-12-03 00:00:00,Theodore Roosevelt,32112,labor,20595,"... anarchistic sentiment inevitably springs. Finally, all persons should be excluded who are below a certain standard of economic fitness to enter our industrial field as competitors with American labor. There should be proper proof of personal capacity to earn an American living and enough money to insure a decent start under American conditions. This would stop the influx of cheap labor, ..."
60,109,1901-12-03 00:00:00,Theodore Roosevelt,32301,labor,20595,"... American labor. There should be proper proof of personal capacity to earn an American living and enough money to insure a decent start under American conditions. This would stop the influx of cheap labor, and the resulting competition which gives rise to so much of bitterness in American industrial life; and it would dry up the springs of the pestilential social conditions in our great cities, ..."
61,109,1901-12-03 00:00:00,Theodore Roosevelt,34463,labor,20595,... of our tariff policy to meet our shifting national needs must be conditioned upon the cardinal fact that the duties must never be reduced below the point that will cover the difference between the labor cost here and abroad. The well-being of the wage-worker is a prime consideration of our entire policy of economic legislation. Subject to this proviso of the proper protection necessary to ...
62,109,1901-12-03 00:00:00,Theodore Roosevelt,35372,labor,20595,"... to purchase our products should as far as possible be secured by so arranging our tariff as to enable us to take from them those products which we can use without harm to our own industries and labor, or the use of which will be of marked benefit to us. It is most important that we should maintain the high level of our present prosperity. We have now reached the point in the development ..."
63,109,1901-12-03 00:00:00,Theodore Roosevelt,56967,labor,20595,... and administration show themselves fit to receive it. In Hawaii our aim must be to develop the Territory on the traditional American lines. We do not wish a region of large estates tilled by cheap labor; we wish a healthy American community of men who themselves till the farms they own. All our legislation for the islands should be shaped with this end in view; the well-being of the average ...
64,109,1901-12-03 00:00:00,Theodore Roosevelt,94983,labor,20595,"... standing on his merits as he is able to show them by practical test. Written competitive examinations offer the only available means in many cases for applying this system. In other cases, as where laborers are employed, a system of registration undoubtedly can be widely extended. There are, of course, places where the written competitive examination cannot be applied, and others where it ..."
65,109,1901-12-03 00:00:00,Theodore Roosevelt,14333,poor,20595,"... in other countries as they operate in our own. The process has aroused much antagonism, a great part of which is wholly without warrant. It is not true that as the rich have grown richer the poor have grown poorer. On the contrary, never before has the average man, the wage-worker, the farmer, the small trader, been so well off as in this country and at the present time. There have been ..."
66,109,1901-12-03 00:00:00,Theodore Roosevelt,14349,poor,20595,"... as they operate in our own. The process has aroused much antagonism, a great part of which is wholly without warrant. It is not true that as the rich have grown richer the poor have grown poorer. On the contrary, never before has the average man, the wage-worker, the farmer, the small trader, been so well off as in this country and at the present time. There have been abuses ..."
67,109,1901-12-03 00:00:00,Theodore Roosevelt,2881,toil,20595,"... tillers of the soil, who had himself belonged among the wage-workers, who had entered the Army as a private soldier. Wealth was not struck at when the President was assassinated, but the honest toil which is content with moderate gains after a lifetime of unremitting labor, largely in the service of the public. Still less was power struck at in the sense that power is irresponsible or ..."
68,109,1901-12-03 00:00:00,Theodore Roosevelt,7732,toil,20595,"... His protest of concern for workingmen is outrageous in its impudent falsity; for if the political institutions of this country do not afford opportunity to every honest and intelligent son of toil, then the door of hope is forever closed against him. The anarchist is everywhere not merely the enemy of system and of progress, but the deadly foe of liberty. If ever anarchy is triumphant, ..."
69,109,1901-12-03 00:00:00,Theodore Roosevelt,2748,worker,20595,"... even this base apology cannot be urged. President McKinley was a man of moderate means, a man whose stock sprang from the sturdy tillers of the soil, who had himself belonged among the wage-workers, who had entered the Army as a private soldier. Wealth was not struck at when the President was assassinated, but the honest toil which is content with moderate gains after a lifetime of ..."
70,109,1901-12-03 00:00:00,Theodore Roosevelt,3221,worker,20595,... at in the sense that power is irresponsible or centered in the hands of any one individual. The blow was not aimed at tyranny or wealth. It was aimed at one of the strongest champions the wage-worker has ever had; at one of the most faithful representatives of the system of public rights and representative government who has ever risen to public office. President McKinley filled that ...
71,109,1901-12-03 00:00:00,Theodore Roosevelt,3932,worker,20595,"... to their thought, after having endeavored to guide that thought aright. He had just been reelected to the Presidency because the majority of our citizens, the majority of our farmers and wage-workers, believed that he had faithfully upheld their interests for four years. They felt themselves in close and intimate touch with him. They felt that he represented so well and so honorably all ..."
72,109,1901-12-03 00:00:00,Theodore Roosevelt,14417,worker,20595,"... a great part of which is wholly without warrant. It is not true that as the rich have grown richer the poor have grown poorer. On the contrary, never before has the average man, the wage-worker, the farmer, the small trader, been so well off as in this country and at the present time. There have been abuses connected with the accumulation of wealth; yet it remains true that a ..."
73,109,1901-12-03 00:00:00,Theodore Roosevelt,17970,worker,20595,"... its effects limited to the men at the top. It spreads throughout, and while it is bad for everybody, it is worst for those farthest down. The capitalist may be shorn of his luxuries; but the wage-worker may be deprived of even bare necessities. The mechanism of modern business is so delicate that extreme care must be taken not to interfere with it in a spirit of rashness or ignorance. Many ..."
74,109,1901-12-03 00:00:00,Theodore Roosevelt,25502,worker,20595,"... broadening our markets, securing our business interests on a safe basis, and making firm our new position in the international industrial world; while scrupulously safeguarding the rights of wage-worker and capitalist, of investor and private citizen, so as to secure equity as between man and man in this Republic. With the sole exception of the farming interest, no one matter is of such ..."
75,109,1901-12-03 00:00:00,Theodore Roosevelt,25757,worker,20595,"... as to secure equity as between man and man in this Republic. With the sole exception of the farming interest, no one matter is of such vital moment to our whole people as the welfare of the wage-workers. If the farmer and the wage-worker are well off, it is absolutely certain that all others will be well off too. It is therefore a matter for hearty congratulation that on the whole wages are ..."
76,109,1901-12-03 00:00:00,Theodore Roosevelt,25793,worker,20595,"... and man in this Republic. With the sole exception of the farming interest, no one matter is of such vital moment to our whole people as the welfare of the wage-workers. If the farmer and the wage-worker are well off, it is absolutely certain that all others will be well off too. It is therefore a matter for hearty congratulation that on the whole wages are higher to-day in the United States ..."
77,109,1901-12-03 00:00:00,Theodore Roosevelt,28229,worker,20595,"... the inhabited alleys, the existence of which is a reproach to our Capital city, into minor streets, where the inhabitants can live under conditions favorable to health and morals. American wage-workers work with their heads as well as their hands. Moreover, they take a keen pride in what they are doing; so that, independent of the reward, they wish to turn out a perfect job. This is the ..."
78,109,1901-12-03 00:00:00,Theodore Roosevelt,28909,worker,20595,"... large cities, and for another side the effort to deal with that tangle of far-reaching questions which we group together when we speak of ""labor."" The chief factor in the success of each man--wage-worker, farmer, and capitalist alike--must ever be the sum total of his own individual qualities and abilities. Second only to this comes the power of acting in combination or association with ..."
79,109,1901-12-03 00:00:00,Theodore Roosevelt,29194,worker,20595,"... qualities and abilities. Second only to this comes the power of acting in combination or association with others. Very great good has been and will be accomplished by associations or unions of wage-workers, when managed with forethought, and when they combine insistence upon their own rights with law-abiding respect for the rights of others. The display of these qualities in such bodies is a ..."
80,109,1901-12-03 00:00:00,Theodore Roosevelt,34518,worker,20595,"... must be conditioned upon the cardinal fact that the duties must never be reduced below the point that will cover the difference between the labor cost here and abroad. The well-being of the wage-worker is a prime consideration of our entire policy of economic legislation. Subject to this proviso of the proper protection necessary to our industrial well-being at home, the principle of ..."
81,109,1901-12-03 00:00:00,Theodore Roosevelt,77375,worker,20595,"... could have been struck. The Congressmen who voted years in advance the money to lay down the ships, to build the guns, to buy the armor-plate; the Department officials and the business men and wage-workers who furnished what the Congress had authorized; the Secretaries of the Navy who asked for and expended the appropriations; and finally the officers who, in fair weather and foul, on actual ..."
82,110,1902-12-02 00:00:00,Theodore Roosevelt,21696,employment,10275,"... multiplication of questions affecting labor and capital, the growth and complexity of the organizations through which both labor and capital now find expression, the steady tendency toward the employment of capital in huge corporations, and the wonderful strides of this country toward leadership in the international business world justify an urgent demand for the creation of such a ..."
83,110,1902-12-02 00:00:00,Theodore Roosevelt,11942,equal,10275,"... at short intervals. Moreover, if the tariff laws as a whole work well, and if business has prospered under them and is prospering, it is better to endure for a time slight inconveniences and inequalities in some schedules than to upset business by too quick and too radical changes. It is most earnestly to be wished that we could treat the tariff from the standpoint solely of our business ..."
84,110,1902-12-02 00:00:00,Theodore Roosevelt,13132,equal,10275,"... in making these changes would, of course, be to preserve the principle which underlies our whole tariff system--that is, the principle of putting American business interests at least on a full equality with interests abroad, and of always allowing a sufficient rate of duty to more than cover the difference between the labor cost here and abroad. The well-being of the wage-worker, like the ..."
85,110,1902-12-02 00:00:00,Theodore Roosevelt,15940,equal,10275,"... in the question; but of course if in any case it be found that a given rate of duty does promote a monopoly which works ill, no protectionist would object to such reduction of the duty as would equalize competition. In my judgment, the tariff on anthracite coal should be removed, and anthracite put actually, where it now is nominally, on the free list. This would have no effect at all ..."
86,110,1902-12-02 00:00:00,Theodore Roosevelt,16298,equal,10275,"... This would have no effect at all save in crises; but in crises it might be of service to the people. Interest rates are a potent factor in business activity, and in order that these rates may be equalized to meet the varying needs of the seasons and of widely separated communities, and to prevent the recurrence of financial stringencies which injuriously affect legitimate business, it is ..."
87,110,1902-12-02 00:00:00,Theodore Roosevelt,49603,equal,10275,"... are absolutely indistinguishable in point of social, political, and economic ability from their white associates. There are other tribes which have as yet made no perceptible advance toward such equality. To try to force such tribes too fast is to prevent their going forward at all. Moreover, the tribes live under widely different conditions. Where a tribe has made considerable advance and ..."
88,110,1902-12-02 00:00:00,Theodore Roosevelt,52933,equal,10275,"... of only ten inches or thereabouts has been conclusively demonstrated. Through the introduction of new rices in Louisiana and Texas the production of rice in this country has been made to about equal the home demand. In the South-west the possibility of regrassing overstocked range lands has been demonstrated; in the North many new forage crops have been introduced, while in the East it ..."
89,110,1902-12-02 00:00:00,Theodore Roosevelt,13132,equality,10275,"... in making these changes would, of course, be to preserve the principle which underlies our whole tariff system--that is, the principle of putting American business interests at least on a full equality with interests abroad, and of always allowing a sufficient rate of duty to more than cover the difference between the labor cost here and abroad. The well-being of the wage-worker, like the ..."
